latitud,longitud,temp_media_marzo,temp_media_abril,temp_media_mayo,precipitacion_marzo,precipitacion_abril,precipitacion_mayo,tipo_suelo,ph_suelo,materia_organica_pct,cultivo_anterior,rendimiento_anterior,dia_del_ano
-27.64045524,-61.31068302,27.74124774,22.52795667,14.5619029,4.109644839,6.37929,0.9625480645,Franco limosa,7.326444149017334,2.0035953041399326,Soja,1600,315
-27.59526715,-61.3070727,27.74125774,22.52796667,14.5619129,4.109654839,6.3793,0.9625580645,Franco limosa,7.1660356521606445,2.1686118273548542,Soja,980,338
-27.6338971,-61.3056664,27.74126774,22.52797667,14.5619229,4.109664839,6.37931,0.9625680645,Franco limosa,7.2219157218933105,2.031453846737021,Soja,900,330
-27.63188112,-61.3095714,27.74127774,22.52798667,14.5619329,4.109674839,6.37932,0.9625780645,Franco limosa,7.2219157218933105,1.308314452598355,Soja,3017,326
-27.61735794,-61.36022481,27.74128774,22.52799667,14.5619429,4.109684839,6.37933,0.9625880645,Franco limosa,7.28997802734375,3.401739219150308,Soja,1831,322
-27.59487413,-61.32492077,27.74129774,22.52800667,14.5619529,4.109694839,6.37934,0.9625980645,Franco limosa,7.178247928619385,1.3843571653351936,Soja,1326,329
-27.64138993,-61.32650953,27.74130774,22.52801667,14.5619629,4.109704839,6.37935,0.9626080645,Franco limosa,7.26806116104126,3.169495619478983,Soja,1134,340
-27.59776977,-61.30928468,27.74131774,22.52802667,14.5619729,4.109714839,6.37936,0.9626180645,Franco limosa,7.1660356521606445,2.902183962578765,Trigo,1300,162
-27.63249188,-61.35748855,27.74132774,22.52803667,14.5619829,4.109724839,6.37937,0.9626280645,Franco limosa,7.171051025390625,3.150843634876592,Trigo,900,158
-27.63678943,-61.35512571,27.74133774,22.52804667,14.5619929,4.109734839,6.37938,0.9626380645,Franco limosa,7.171051025390625,2.7314811617386625,Trigo,900,158
-27.63961448,-61.30286927,27.74134774,22.52805667,14.5620029,4.109744839,6.37939,0.9626480645,Franco limosa,7.188483238220215,3.471105218076476,Trigo,1100,159
-27.54192562,-54.68422659,24.76677419,23.017,16.75645161,5.142903226,7.119333333,9.985806452,Franco arcillo limos,6.214268960014988,1.645524462938266,Cebada,4680,135
-27.58238878,-54.71383326,24.36967742,22.77533333,16.33096774,5.505483871,8.426333333,8.682580645,Franco arcillosa,6.880206285191912,2.0794629609511714,Cebada,3978,161
-27.5883582,-54.68239306,24.76678419,23.01701,16.75646161,5.142913226,7.119343333,9.985816452,Areno franca,7.268945009162325,3.0473226660942143,Cebada,4076,155
-27.5738119,-54.69633473,24.36968742,22.77534333,16.33097774,5.505493871,8.426343333,8.682590645,Franca,6.43361234664917,2.678181135416361,Cebada,4280,135
-27.57088116,-54.71056026,24.36969742,22.77535333,16.33098774,5.505503871,8.426353333,8.682600645,Arcillo limosa,6.7984825678414245,2.111811739243888,Maiz,7350,266
-27.56231203,-54.67706341,24.76679419,23.01702,16.75647161,5.142923226,7.119353333,9.985826452,Arcillo limosa,6.093550936845117,2.556885996117571,Maiz,4890,271
-27.59058108,-54.6804861,24.76680419,23.01703,16.75648161,5.142933226,7.119363333,9.985836452,Areno-franca,6.898702885290684,2.849904035091231,Maiz,7150,268
-27.57825058,-54.68083691,24.76681419,23.01704,16.75649161,5.142943226,7.119373333,9.985846452,Franca limosa,7.750327221560802,3.153918908568466,Maiz,7460,267
-27.55906555,-54.70676332,24.36970742,22.77536333,16.33099774,5.505513871,8.426363333,8.682610645,Franco limosa,6.445306777954102,3.051681224594141,Maiz,2800,269
-27.54449176,-54.71610892,24.36971742,22.77537333,16.33100774,5.505523871,8.426373333,8.682620645,Franca limosa,5.258045673370361,2.479737226411369,Maiz,2800,273
-27.54640149,-54.71840916,24.36972742,22.77538333,16.33101774,5.505533871,8.426383333,8.682630645,Franco limosa,5.300040721893311,2.0458164969808155,Maiz,1300,264
-27.54133137,-54.68259542,24.76682419,23.01705,16.75650161,5.142953226,7.119383333,9.985856452,Franco arenosa,6.36065649440796,2.5252314886679468,Maiz,1600,269
-27.55216488,-54.70451973,24.36973742,22.77539333,16.33102774,5.505543871,8.426393333,8.682640645,Franco arenosa,5.391397953033447,3.0746663935953173,Maiz,3500,260
-27.54430205,-54.72131876,24.36974742,22.77540333,16.33103774,5.505553871,8.426403333,8.682650645,Areno-franca,5.300040721893311,2.416469622981756,Maiz,4000,272
-27.57214157,-54.67690953,24.76683419,23.01706,16.75651161,5.142963226,7.119393333,9.985866452,Arenosa,6.088553559042651,1.7698784100474207,Maiz,3160,282
-27.56775474,-54.68501357,24.76684419,23.01707,16.75652161,5.142973226,7.119403333,9.985876452,Areno-franca,6.318820953369141,1.8748114861914635,Maiz,5000,286
-27.5728922,-54.68285499,24.76685419,23.01708,16.75653161,5.142983226,7.119413333,9.985886452,Arcillosa,6.825795562119552,2.6620622835310845,Soja,3188,331
-27.56148825,-54.68241197,24.76686419,23.01709,16.75654161,5.142993226,7.119423333,9.985896452,Areno franca,6.250706289067797,2.405097963142903,Soja,1910,337
-27.561096,-54.72354683,24.36975742,22.77541333,16.33104774,5.505563871,8.426413333,8.682660645,-,7.910600186792403,1.6430076128036093,Soja,2900,332
-27.58416016,-54.7130772,24.36976742,22.77542333,16.33105774,5.505573871,8.426423333,8.682670645,Arcillo limosa,6.826205557211042,2.091576022362188,Soja,3219,329
-27.57111923,-54.67027879,24.76687419,23.0171,16.75655161,5.143003226,7.119433333,9.985906452,Arenoso gruesa,6.459990653305365,1.4890896428754268,Soja,900,322
-27.57859841,-54.6767155,24.76688419,23.01711,16.75656161,5.143013226,7.119443333,9.985916452,Areno-franca,6.1399820902312285,1.442024227657322,Soja,1500,323
-27.54277752,-54.68195032,24.76689419,23.01712,16.75657161,5.143023226,7.119453333,9.985926452,Franco limosa,7.413583593228506,1.4070387386635712,Soja,2300,340
-27.56937791,-54.68609178,24.76690419,23.01713,16.75658161,5.143033226,7.119463333,9.985936452,Arcillosa,6.318820953369141,2.558456904344749,Soja,4000,328
-27.58302793,-54.71857919,24.36977742,22.77543333,16.33106774,5.505583871,8.426433333,8.682680645,Franca,6.746266404653689,2.0906769191848587,Soja,3500,329
-27.58508486,-54.72884522,24.36978742,22.77544333,16.33107774,5.505593871,8.426443333,8.682690645,Areno-franca,6.595538921749714,2.6750542235889494,Soja,2200,326
-27.57613455,-54.72935458,24.36979742,22.77545333,16.33108774,5.505603871,8.426453333,8.682700645,Arenoso gruesa,7.69108258696658,3.2085200529018687,Soja,1100,328
-27.55489708,-54.72850685,24.36980742,22.77546333,16.33109774,5.505613871,8.426463333,8.682710645,Franco arcillo limos,5.961676120758057,2.5220379666681647,Soja,1870,319
-27.56145969,-54.69571757,24.36981742,22.77547333,16.33110774,5.505623871,8.426473333,8.682720645,Franco arcillo limos,5.805477142333984,1.637761136381665,Soja,2151,326
-27.54066979,-54.70340417,24.36982742,22.77548333,16.33111774,5.505633871,8.426483333,8.682730645,Arenosa,5.520994186401367,3.3544257673599764,Soja,2817,327
-27.54571247,-54.71050529,24.36983742,22.77549333,16.33112774,5.505643871,8.426493333,8.682740645,-,5.258045673370361,2.4231837061736856,Soja,1549,338
-27.59317498,-54.69968415,24.36984742,22.77550333,16.33113774,5.505653871,8.426503333,8.682750645,Franca,6.083960987603917,1.3753736137114905,Soja,2501,334
-27.57024388,-54.71409346,24.36985742,22.77551333,16.33114774,5.505663871,8.426513333,8.682760645,Areno-gravillosa,6.139208231934938,3.1822412939516536,Soja,2800,324
-27.56860941,-54.72869486,24.36986742,22.77552333,16.33115774,5.505673871,8.426523333,8.682770645,Franca limosa,6.962190380810332,1.218918423504475,Soja,900,343
-27.57851327,-54.70908646,24.36987742,22.77553333,16.33116774,5.505683871,8.426533333,8.682780645,Areno franca,7.436608430204952,2.139135890078917,Soja,1500,323
-27.57182463,-54.67274752,24.76691419,23.01714,16.75659161,5.143043226,7.119473333,9.985946452,Arcillo arenosa,6.456930071228471,1.7150638937701843,Soja,2300,320
-27.58625468,-54.70536686,24.36988742,22.77554333,16.33117774,5.505693871,8.426543333,8.682790645,Arcillo limosa,6.382034137528184,2.0632775047016985,Soja,4000,319
-27.58708298,-54.68112102,24.76692419,23.01715,16.75660161,5.143053226,7.119483333,9.985956452,Arenoso gruesa,7.993148549299824,2.3093747291671454,Soja,3500,338
-27.58861537,-54.68773563,24.36989742,22.77555333,16.33118774,5.505703871,8.426553333,8.682800645,Arcillo limosa,7.399924507687117,1.635513763794192,Trigo,3800,145
-27.59363223,-54.7081729,24.36990742,22.77556333,16.33119774,5.505713871,8.426563333,8.682810645,Franco limosa,7.122408279775627,1.928131588047472,Trigo,3041,164
-27.56964076,-54.71239344,24.36991742,22.77557333,16.33120774,5.505723871,8.426573333,8.682820645,Franco limosa,7.487270309882069,3.490804378119863,Trigo,3800,147
-27.57114327,-54.70941366,24.36992742,22.77558333,16.33121774,5.505733871,8.426583333,8.682830645,Areno-gravillosa,6.829195628275934,1.8027363160895875,Trigo,3930,142
-27.55974228,-54.71746294,24.36993742,22.77559333,16.33122774,5.505743871,8.426593333,8.682840645,Arenosa,6.852378337603201,2.6797687664135927,Trigo,3999,162
-27.54000703,-54.69906512,24.36994742,22.77560333,16.33123774,5.505753871,8.426603333,8.682850645,Franco arcillo areno,5.520994186401367,2.1282329999795087,Trigo,3243,137
-27.58667969,-54.70782907,24.36995742,22.77561333,16.33124774,5.505763871,8.426613333,8.682860645,Franco arcillo limos,6.214576680411569,3.098965788888844,Trigo,3862,144
-27.5731896,-54.69532175,24.36996742,22.77562333,16.33125774,5.505773871,8.426623333,8.682870645,Franco arenosa grues,6.318820953369141,2.604895390784929,Trigo,3910,156
-29.21549375,-61.76666987,27.52483871,20.858,12.91935484,3.971290323,5.717333333,0.1967741935,Franco limosa,7.63073218011179,2.436755814213879,Cebada,5000,135
-29.22876511,-61.74613247,27.52484871,20.85801,12.91936484,3.971300323,5.717343333,0.1967841935,Franco limosa,7.376396179199219,1.5457246274277463,Cebada,2500,137
-29.24319352,-61.7835987,27.52485871,20.85802,12.91937484,3.971310323,5.717353333,0.1967941935,Franco limosa,7.457167148590088,1.235386716028696,Cebada,2500,146
-29.23770157,-61.77695379,27.52486871,20.85803,12.91938484,3.971320323,5.717363333,0.1968041935,Franco limosa,6.284132074049011,2.9094275569261976,Cebada,4000,143
-29.22671532,-61.75087812,27.52487871,20.85804,12.91939484,3.971330323,5.717373333,0.1968141935,Franco limosa,7.376396179199219,1.8442751491240847,Maiz,8000,280
-29.253807,-61.78103323,27.06225806,20.41166667,12.53612903,4.057419355,6.000666667,0.195483871,Franco limosa,7.438064575195312,2.628803994326182,Maiz,4000,288
-29.22815575,-61.77212037,27.52488871,20.85805,12.91940484,3.971340323,5.717383333,0.1968241935,Franco limosa,7.887000378640538,1.5507957204993137,Maiz,8000,262
-29.23121318,-61.75649671,27.52489871,20.85806,12.91941484,3.971350323,5.717393333,0.1968341935,Franco limosa,7.6898158771033716,2.2393896224329763,Maiz,8500,262
-29.25541727,-61.74639048,27.06226806,20.41167667,12.53613903,4.057429355,6.000676667,0.195493871,Areno-gravillosa,7.483411312103271,3.1816487868986663,Maiz,4800,288
-29.25627558,-61.75471275,27.06227806,20.41168667,12.53614903,4.057439355,6.000686667,0.195503871,Franco arcillo limos,7.44458532333374,1.92157503616923,Maiz,3400,269
-29.22031715,-61.79676695,27.52490871,20.85807,12.91942484,3.971360323,5.717403333,0.1968441935,Franco limosa,7.289071083068848,3.350283090966035,Maiz,2100,258
-29.2460002,-61.79367457,27.52491871,20.85808,12.91943484,3.971370323,5.717413333,0.1968541935,Franco limosa,7.387044429779053,1.461807746969849,Maiz,1800,268
-29.23532047,-61.79086542,27.52492871,20.85809,12.91944484,3.971380323,5.717423333,0.1968641935,Franco limosa,7.350403308868408,1.737433895322738,Maiz,4500,262
-29.23818884,-61.7621524,27.52493871,20.8581,12.91945484,3.971390323,5.717433333,0.1968741935,Franco limosa,7.26262287396424,3.223414289770026,Maiz,3750,266
-29.2135182,-61.7792451,27.52494871,20.85811,12.91946484,3.971400323,5.717443333,0.1968841935,Franco limosa,7.351290225982666,2.348782890977831,Maiz,2000,288
-29.25292211,-61.78990505,27.06228806,20.41169667,12.53615903,4.057449355,6.000696667,0.195513871,Franco limosa,7.434293746948242,3.375250291752152,Maiz,5500,276
-29.24268141,-61.74342016,27.52495871,20.85812,12.91947484,3.971410323,5.717453333,0.1968941935,Franco limosa,7.469603061676025,3.022293266738708,Soja,4000,336
-29.21201429,-61.75547795,27.52496871,20.85813,12.91948484,3.971420323,5.717463333,0.1969041935,Franco limosa,6.517403429937296,1.4619247985477717,Soja,2088,325
-29.22199197,-61.79623605,27.52497871,20.85814,12.91949484,3.971430323,5.717473333,0.1969141935,Franco limosa,7.289071083068848,1.6874627783136098,Soja,3500,317
-29.21656719,-61.75006221,27.52498871,20.85815,12.91950484,3.971440323,5.717483333,0.1969241935,Franco limosa,7.286716461181641,2.0379940126675,Soja,3400,320
-29.22858447,-61.78109394,27.52499871,20.85816,12.91951484,3.971450323,5.717493333,0.1969341935,Franco limosa,7.345155239105225,1.9244059344106592,Soja,2800,321
-29.21066369,-61.74415422,27.52500871,20.85817,12.91952484,3.971460323,5.717503333,0.1969441935,Franco limosa,7.286716461181641,2.3650484543955983,Soja,2300,320
-29.24622431,-61.74322177,27.52501871,20.85818,12.91953484,3.971470323,5.717513333,0.1969541935,Franco limosa,7.469603061676025,1.8859532300299136,Soja,1378,321
-29.25738907,-61.7785413,27.06229806,20.41170667,12.53616903,4.057459355,6.000706667,0.195523871,Franco limosa,7.52049446105957,1.5598841339923308,Soja,1150,322
-29.2520404,-61.75611914,27.06230806,20.41171667,12.53617903,4.057469355,6.000716667,0.195533871,Franco limosa,7.567254543304443,3.0244270498771906,Soja,2500,331
-29.24221834,-61.78293608,27.52502871,20.85819,12.91954484,3.971480323,5.717523333,0.1969641935,Franco limosa,7.457167148590088,1.5624951430189675,Soja,1700,338
-29.22494033,-61.78901503,27.52503871,20.8582,12.91955484,3.971490323,5.717533333,0.1969741935,Franco limosa,7.345155239105225,1.9260903229446087,Soja,1200,339
-29.2222961,-61.74671884,27.52504871,20.85821,12.91956484,3.971500323,5.717543333,0.1969841935,Franco limosa,7.376396179199219,3.041556260411294,Soja,2300,324
-29.22605614,-61.73810987,27.52505871,20.85822,12.91957484,3.971510323,5.717553333,0.1969941935,Franco limosa,7.324839115142822,2.6927958305361943,Soja,2000,333
-29.23033868,-61.76879048,27.52506871,20.85823,12.91958484,3.971520323,5.717563333,0.1970041935,Franco limosa,6.189997220763754,3.3082468809434875,Soja,500,332
-29.25011991,-61.7668343,27.06231806,20.41172667,12.53618903,4.057479355,6.000726667,0.195543871,Franco limosa,7.434912204742432,3.0737749870636435,Soja,2500,326
-29.21031619,-61.76838725,27.52507871,20.85824,12.91959484,3.971530323,5.717573333,0.1970141935,Franco limosa,7.282469272613525,1.2720311448052486,Soja,2200,336
-29.20627623,-61.76959457,27.52508871,20.85825,12.91960484,3.971540323,5.717583333,0.1970241935,Franco limosa,7.282469272613525,2.55000715923919,Soja,2400,330
-29.22159425,-61.75286045,27.52509871,20.85826,12.91961484,3.971550323,5.717593333,0.1970341935,Franco limosa,7.376396179199219,1.843570370603849,Soja,1500,322
-29.21206647,-61.74620794,27.52510871,20.85827,12.91962484,3.971560323,5.717603333,0.1970441935,Franco limosa,7.286716461181641,1.3006084101115838,Soja,880,330
-29.21230518,-61.73658838,27.52511871,20.85828,12.91963484,3.971570323,5.717613333,0.1970541935,Franco limosa,7.29007625579834,2.7268866482893106,Soja,900,319
-29.25212713,-61.77886029,27.06232806,20.41173667,12.53619903,4.057489355,6.000736667,0.195553871,Franco limosa,7.438064575195312,2.151989549110125,Soja,2100,332
-29.2223256,-61.77923351,27.52512871,20.85829,12.91964484,3.971580323,5.717623333,0.1970641935,Franco limosa,7.345155239105225,1.9288405318954385,Soja,1500,336
-29.22082257,-61.77098711,27.52513871,20.8583,12.91965484,3.971590323,5.717633333,0.1970741935,Franco limosa,7.959877510649026,2.2785782179048906,Soja,1500,317
-29.23955962,-61.73933101,27.52514871,20.85831,12.91966484,3.971600323,5.717643333,0.1970841935,Franco limosa,7.469603061676025,2.938854682302302,Soja,1600,320
-29.22459236,-61.73629795,27.52515871,20.85832,12.91967484,3.971610323,5.717653333,0.1970941935,Franco limosa,7.324839115142822,2.2009807032867883,Soja,3028,315
-29.22820818,-61.75005836,27.52516871,20.85833,12.91968484,3.971620323,5.717663333,0.1971041935,Franco limosa,7.376396179199219,2.253388223481532,Soja,1370,318
-29.24936409,-61.75717475,27.52517871,20.85834,12.91969484,3.971630323,5.717673333,0.1971141935,Franco limosa,7.567254543304443,2.0591646709540568,Soja,3265,326
-29.23377198,-61.73842208,27.52518871,20.85835,12.91970484,3.971640323,5.717683333,0.1971241935,Franco limosa,7.324839115142822,1.5669955661755943,Soja,2963,317
-29.21507601,-61.74984666,27.52519871,20.85836,12.91971484,3.971650323,5.717693333,0.1971341935,Franco limosa,7.286716461181641,2.054057635454913,Soja,2737,331
-29.25120772,-61.75270365,27.06233806,20.41174667,12.53620903,4.057499355,6.000746667,0.195563871,Franco limosa,7.483411312103271,1.2892272865705692,Soja,2170,327
-29.21955393,-61.77964674,27.52520871,20.85837,12.91972484,3.971660323,5.717703333,0.1971441935,Franco limosa,7.345155239105225,2.848212442117039,Soja,1321,342
-29.22195054,-61.75843188,27.52521871,20.85838,12.91973484,3.971670323,5.717713333,0.1971541935,Franco limosa,7.177883345026095,1.6457509558688406,Soja,1129,331
-29.24984834,-61.745373,27.52522871,20.85839,12.91974484,3.971680323,5.717723333,0.1971641935,Franco limosa,7.483411312103271,3.0027269440067226,Soja,2302,343
-29.22071112,-61.77110785,27.52523871,20.8584,12.91975484,3.971690323,5.717733333,0.1971741935,Franco limosa,7.333746657954569,1.2204041116724844,Soja,1683,341
-29.23082759,-61.76680489,27.52524871,20.85841,12.91976484,3.971700323,5.717743333,0.1971841935,Franco limosa,6.609610071182719,3.3377247856416314,Soja,1247,330
-29.24296554,-61.78185735,27.52525871,20.85842,12.91977484,3.971710323,5.717753333,0.1971941935,Franco limosa,7.457167148590088,2.94594334565656,Soja,1984,321
-29.24893919,-61.75804391,27.52526871,20.85843,12.91978484,3.971720323,5.717763333,0.1972041935,Franco limosa,7.567254543304443,2.899498458234995,Trigo,4502,166
-29.23015095,-61.73702452,27.52527871,20.85844,12.91979484,3.971730323,5.717773333,0.1972141935,Franco limosa,7.324839115142822,1.6029746674664298,Trigo,2000,144
-29.23744459,-61.79155045,27.52528871,20.85845,12.91980484,3.971740323,5.717783333,0.1972241935,Franco limosa,7.350403308868408,3.480981793828021,Trigo,2500,140
-29.22051878,-61.74225586,27.52529871,20.85846,12.91981484,3.971750323,5.717793333,0.1972341935,Franco limosa,7.324839115142822,1.294683335370041,Trigo,3500,156
-29.22825315,-61.79503466,27.52530871,20.85847,12.91982484,3.971760323,5.717803333,0.1972441935,Franco limosa,7.289071083068848,2.6792769110957804,Trigo,600,143
-29.21332007,-61.74227743,27.52531871,20.85848,12.91983484,3.971770323,5.717813333,0.1972541935,Franco limosa,7.29007625579834,2.288802058558696,Trigo,4899,140
-29.21304052,-61.75087034,27.52532871,20.85849,12.91984484,3.971780323,5.717823333,0.1972641935,Franco limosa,7.286716461181641,1.2803039075672846,Trigo,2498,142
-29.20834487,-61.74671045,27.52533871,20.8585,12.91985484,3.971790323,5.717833333,0.1972741935,Franco limosa,7.265810012817383,1.4406545690801804,Trigo,2500,156
-29.23511673,-61.75035845,27.52534871,20.85851,12.91986484,3.971800323,5.717843333,0.1972841935,Franco limosa,7.376396179199219,2.9460618631196933,Trigo,4497,152
-29.20899827,-61.78047817,27.52535871,20.85852,12.91987484,3.971810323,5.717853333,0.1972941935,Franco limosa,7.351290225982666,1.2722046783352503,Trigo,1000,147
-29.24544037,-61.79723189,27.52536871,20.85853,12.91988484,3.971820323,5.717863333,0.1973041935,Franco limosa,7.387044429779053,1.873440055589564,Trigo,1000,139
-29.23141849,-61.77450039,27.52537871,20.85854,12.91989484,3.971830323,5.717873333,0.1973141935,Franco limosa,6.137881292353022,1.6261131265812403,Trigo,700,166
-29.2111139,-61.78029026,27.52538871,20.85855,12.91990484,3.971840323,5.717883333,0.1973241935,Franco limosa,7.351290225982666,3.1958211843523308,Trigo,1200,149
-29.25560647,-61.76654001,27.06234806,20.41175667,12.53621903,4.057509355,6.000756667,0.195573871,Franco limosa,7.567254543304443,2.344290653376825,Trigo,1700,137
-29.20650676,-61.74837969,27.52539871,20.85856,12.91991484,3.971850323,5.717893333,0.1973341935,Franco limosa,7.265810012817383,3.055568267869648,Trigo,1100,143
-29.23219669,-61.79513951,27.52540871,20.85857,12.91992484,3.971860323,5.717903333,0.1973441935,Franco limosa,7.350403308868408,2.4120328244675973,Trigo,1100,153
-29.23121304,-61.73587622,27.52541871,20.85858,12.91993484,3.971870323,5.717913333,0.1973541935,Franco limosa,7.324839115142822,1.369456750411318,Trigo,1489,139
-37.15284966,-62.75277974,20.34741935,14.638,7.802580645,4.086774194,4.403333333,0.1338709677,Franco arenosa,7.932593551169335,3.0824988250163337,Cebada,3300,155
-37.18887302,-62.77631907,20.34742935,14.63801,7.802590645,4.086784194,4.403343333,0.1338809677,Franca,7.582291126251221,3.466668549391396,Cebada,2700,166
-37.15384204,-62.74860931,20.34743935,14.63802,7.802600645,4.086794194,4.403353333,0.1338909677,Franco arenosa,6.181225633597341,1.9507812976099168,Cebada,2800,179
-37.15941757,-62.72489896,20.34744935,14.63803,7.802610645,4.086804194,4.403363333,0.1339009677,Franco arenosa,6.723116397857666,3.159963941514352,Cebada,2700,177
-37.16898489,-62.74949332,20.34745935,14.63804,7.802620645,4.086814194,4.403373333,0.1339109677,Franco arenosa,7.546267509460449,1.5452152929920064,Maiz,7200,291
-37.18670385,-62.76126032,20.34746935,14.63805,7.802630645,4.086824194,4.403383333,0.1339209677,Franco limosa,7.4652581214904785,2.358601585171355,Maiz,5500,299
-37.18460484,-62.73937056,20.34747935,14.63806,7.802640645,4.086834194,4.403393333,0.1339309677,Franco limosa,7.527873516082764,3.358046944856282,Maiz,6500,327
-37.19452366,-62.72575281,20.34748935,14.63807,7.802650645,4.086844194,4.403403333,0.1339409677,Franco limosa,7.225611686706543,3.045614770124462,Maiz,6500,327
-37.18043046,-62.75438695,20.34749935,14.63808,7.802660645,4.086854194,4.403413333,0.1339509677,Franco arenosa,7.532898902893066,1.4575501090855232,Soja,2800,358
-37.17051383,-62.75431539,20.34750935,14.63809,7.802670645,4.086864194,4.403423333,0.1339609677,Franco arenosa,7.466984748840332,1.3069518966562468,Soja,2500,362
